experiment,mode,N,workers,repeat,pi,error,time_sec,time_std,speedup,efficiency,efficiency_percent,notes
weak_scaling,openmp,10000000,1,3,3.141592653589731,6.217248937900877e-14,0.009885333,0.000141082,,1.000000,100.00,N = 10^7 * workers
weak_scaling,openmp,20000000,2,3,3.141592653589929,1.354472090042691e-13,0.010165000,0.000081253,,0.972487,97.25,N = 10^7 * workers
weak_scaling,openmp,40000000,4,3,3.141592653589848,5.506706202140776e-14,0.011242000,0.001177410,,0.879322,87.93,N = 10^7 * workers
weak_scaling,openmp,80000000,8,3,3.141592653589766,2.753353101070388e-14,0.018471667,0.000360441,,0.535162,53.52,N = 10^7 * workers
weak_scaling,mpi,10000000,1,3,3.141592653589731,6.217248937900877e-14,0.009889000,0.000011576,,1.000000,100.00,N = 10^7 * workers
weak_scaling,mpi,20000000,2,3,3.141592653589820,2.664535259100376e-14,0.010157667,0.000044813,,0.973550,97.36,N = 10^7 * workers
weak_scaling,mpi,40000000,4,3,3.141592653589948,1.549871342376719e-13,0.010658667,0.000773829,,0.927790,92.78,N = 10^7 * workers
weak_scaling,mpi,80000000,8,3,3.141592653589921,1.283417816466681e-13,0.019169667,0.002083189,,0.515867,51.59,N = 10^7 * workers
