N,serial_error,openmp_error,mpi_error
1000000,2.886579864025407e-14,8.260059303211165e-14,1.101341240428155e-13
10000000,6.217248937900877e-14,1.234568003383174e-13,1.070254995738651e-13
100000000,6.332712132461893e-13,1.105782132526656e-13,4.236611061969597e-13
1000000000,1.776356839400250e-13,2.797762022055394e-14,2.486899575160351e-14
