experiment,mode,N,workers,repeat,pi,error,time_sec,time_std,speedup,efficiency,efficiency_percent,notes
strong_scaling,openmp,100000000,1,3,3.141592653590426,6.332712132461893e-13,0.098805667,0.000566235,0.981040,0.981040,98.10,
strong_scaling,openmp,100000000,2,3,3.141592653589910,1.167954621905665e-13,0.049720000,0.000070866,1.949564,0.974782,97.48,
strong_scaling,openmp,100000000,4,3,3.141592653589683,1.105782132526656e-13,0.026835667,0.000130275,3.612071,0.903018,90.30,
strong_scaling,openmp,100000000,8,3,3.141592653589816,2.264854970235319e-14,0.021999000,0.000338353,4.406215,0.550777,55.08,
strong_scaling,mpi,100000000,1,3,3.141592653590426,6.332712132461893e-13,0.096576333,0.000529720,1.003686,1.003686,100.37,
strong_scaling,mpi,100000000,2,3,3.141592653590022,2.291500322826323e-13,0.049829667,0.000081569,1.945274,0.972637,97.26,
strong_scaling,mpi,100000000,4,3,3.141592653590217,4.236611061969597e-13,0.026130333,0.000210375,3.709571,0.927393,92.74,
strong_scaling,mpi,100000000,8,3,3.141592653589614,1.794120407794253e-13,0.024723667,0.000160884,3.920629,0.490079,49.01,
