experiment,mode,N,workers,trial,pi,error,time_sec
weak_scaling,openmp,80000000,8,3,3.141592653589765,2.797762022055394e-14,0.018734000
weak_scaling,mpi,10000000,1,1,3.141592653589731,6.217248937900877e-14,0.009878000
weak_scaling,mpi,10000000,1,2,3.141592653589731,6.217248937900877e-14,0.009905000
weak_scaling,mpi,10000000,1,3,3.141592653589731,6.217248937900877e-14,0.009884000
weak_scaling,mpi,20000000,2,1,3.141592653589820,2.664535259100376e-14,0.010098000
weak_scaling,mpi,20000000,2,2,3.141592653589820,2.664535259100376e-14,0.010206000
weak_scaling,mpi,20000000,2,3,3.141592653589820,2.664535259100376e-14,0.010169000
weak_scaling,mpi,40000000,4,1,3.141592653589948,1.549871342376719e-13,0.010118000
weak_scaling,mpi,40000000,4,2,3.141592653589948,1.549871342376719e-13,0.011753000
weak_scaling,mpi,40000000,4,3,3.141592653589948,1.549871342376719e-13,0.010105000
weak_scaling,mpi,80000000,8,1,3.141592653589921,1.283417816466681e-13,0.016228000
weak_scaling,mpi,80000000,8,2,3.141592653589921,1.283417816466681e-13,0.020501000
weak_scaling,mpi,80000000,8,3,3.141592653589921,1.283417816466681e-13,0.020780000
